symbol,hourly_rate,annual_rate,mark_price,open_interest
BTC,0.00125,10.95,86012.0,25880.5072
ETH,0.00125,10.95,2800.0,394407.4522000001
ATOM,-0.0020900899999999997,-18.3091884,2.4207,1623306.9000000001
MATIC,0.0,0.0,0.37621,0.0
DYDX,0.00125,10.95,0.23309,14367335.6
SOL,0.00051228,4.487572800000001,129.48,3365152.8399999994
AVAX,0.00125,10.95,13.323,4070613.12
BNB,0.00125,10.95,837.8,41204.816
APE,0.00125,10.95,0.2795,4223317.6
OP,0.00125,10.95,0.30315,9868730.2
LTC,0.00125,10.95,82.685,210857.32
ARB,-9.656999999999999e-05,-0.8459532,0.20155,20487996.599999998
DOGE,0.00029118,2.5507367999999997,0.14477,237117168.0
INJ,-0.00272223,-23.846734800000004,5.4095,446669.4
SUI,0.00042571000000000004,3.7292196,1.3649,12528693.400000002
kPEPE,-0.00177704,-15.566870399999999,0.004205,2285845360.0
CRV,0.00125,10.95,0.38464,19621949.2
LDO,0.00040503,3.5480628000000003,0.63017,8930923.000000002
LINK,0.00109396,9.583089600000001,12.445,1544425.0
STX,-0.00397109,-34.7867484,0.30652,3883160.0
RNDR,0.0,0.0,6.8952,0.0
CFX,0.00125,10.95,0.079619,10599902.0
FTM,0.0,0.0,0.71688,0.0
GMX,-0.00372449,-32.6265324,8.423,86649.86
SNX,-0.00177544,-15.552854400000003,0.56025,10741116.6
XRP,0.00125,10.95,2.0573,95011182.0
BCH,0.00059803,5.238742800000001,541.78,14778.078
APT,-0.00300762,-26.346751200000003,2.2665,4768330.5200000005
AAVE,0.00125,10.95,168.8,159741.02
COMP,-0.00285,-24.966,28.624,11761.84
MKR,0.0,0.0,1831.5,0.0
WLD,0.0005275599999999999,4.6214256,0.59823,9523853.0
FXS,-0.0015079899999999999,-13.209992399999999,0.86101,319068.4
HPOS,0.0,0.0,0.041873,0.0
RLB,0.0,0.0,0.071,0.0
UNIBOT,0.0,0.0,7.636,0.0
YGG,0.00125,10.95,0.087365,1305144.0
TRX,0.00083716,7.3335216,0.27592,26698268.0
kSHIB,-0.00203807,-17.8534932,0.007939,658625528.0
UNI,-0.0011820399999999999,-10.3546704,6.0818,4976063.6000000015
SEI,-0.00213389,-18.6928764,0.13101,23331854.0
RUNE,0.00125,10.95,0.62302,2580660.4
OX,0.0,0.0,0.007459,0.0
FRIEND,0.0,0.0,4.72,0.0
SHIA,0.0,0.0,0.000621,0.0
CYBER,0.0,0.0,1.0415,0.0
ZRO,-0.0006906600000000001,-6.0501816,1.2376,2076661.0
BLZ,0.0,0.0,0.070043,0.0
DOT,-0.0008363699999999999,-7.326601199999999,2.2556,2146359.2
BANANA,-0.00058609,-5.134148400000001,7.0884,36971.6
TRB,7.575999999999999e-05,0.6636576,19.802,12838.4
FTT,0.00125,10.95,0.5928,81628.0
LOOM,0.0,0.0,0.071161,0.0
OGN,0.0,0.0,0.055683,0.0
RDNT,0.0,0.0,0.018328,0.0
ARK,-0.0046371500000000005,-40.62143400000001,0.26579,1733622.0
BNT,0.0,0.0,0.38287,0.0
CANTO,0.0,0.0,0.066,0.0
REQ,0.0,0.0,0.15473,0.0
BIGTIME,-0.00330637,-28.9638012,0.022513,10703646.0
KAS,0.00125,10.95,0.040333,19080872.0
ORBS,0.0,0.0,0.01939,0.0
BLUR,0.00125,10.95,0.037477,18248578.0
TIA,-0.00039513,-3.4613387999999996,0.61095,6802242.600000001
BSV,-0.0021065,-18.452939999999998,20.056,40396.42
ADA,-0.00046039000000000003,-4.0330164,0.40535,32626006.0
TON,0.00119119,10.4348244,1.4852,7818783.600000001
MINA,0.00125,10.95,0.10675,14411528.0
POLYX,0.00125,10.95,0.06291,5713672.0
GAS,0.0006527099999999999,5.717739599999999,2.1052,194844.6
PENDLE,0.00125,10.95,2.2711,2708624.0
STG,0.0,0.0,0.15387,0.0
FET,-0.00265314,-23.2415064,0.27131,4350102.0
STRAX,0.0,0.0,1.5829,0.0
NEAR,0.00125,10.95,1.8493,9710074.2
MEME,0.00125,10.95,0.001256,586368516.0
ORDI,0.00125,10.95,3.8148,80602.26
BADGER,0.0,0.0,0.88823,0.0
NEO,0.00125,10.95,4.115,95105.46
ZEN,-0.0009093500000000001,-7.965906,12.197,144930.74
FIL,-0.0012445,-10.901819999999999,1.5947,1768567.8
PYTH,0.00028144,2.4654144,0.072499,17406640.0
SUSHI,-0.00061067,-5.3494692,0.39989,742564.2
ILV,0.0,0.0,12.118,0.0
IMX,-0.0032137100000000003,-28.152099600000003,0.30645,12476035.4
kBONK,-0.00044084,-3.8617584,0.008957,554715512.0
GMT,0.00125,10.95,0.018538,8864974.0
SUPER,-0.01766467,-154.7425092,0.20155,2956812.0
USTC,0.00125,10.95,0.005738,77753426.0
NFTI,0.0,0.0,6.5609,0.0
JUP,-0.0016856,-14.765856000000001,0.23265,17094170.0
kLUNC,9.843e-05,0.8622468000000001,0.026465,8028104.0
RSR,0.00125,10.95,0.003238,84613584.0
GALA,0.00125,10.95,0.00732,50079062.0
JTO,0.00125,10.95,0.46361,3342680.0
NTRN,0.0,0.0,0.1238,0.0
ACE,-0.007476190000000001,-65.4914244,0.2166,770143.2799999999
MAV,-0.07969954,-698.1679704,0.032571,42215974.0
WIF,0.00125,10.95,0.33732,15588266.0
CAKE,0.00125,10.95,2.3233,864329.0000000001
PEOPLE,0.00125,10.95,0.009504,22095290.0
ENS,9.633999999999999e-05,0.8439383999999999,10.975,104996.92
ETC,0.00125,10.95,13.437,128778.52
XAI,-0.0177703,-155.667828,0.02047,53927242.8
MANTA,-0.00179825,-15.75267,0.11611,1878305.6
UMA,0.00125,10.95,0.81075,1026134.4
ONDO,0.00125,10.95,0.47011,8158322.0
ALT,0.00125,10.95,0.01325,41003604.0
ZETA,-0.007427899999999999,-65.06840399999999,0.08749,11672955.4
DYM,-0.08022024999999999,-702.72939,0.1086,10104570.799999999
MAVIA,-0.00031577,-2.7661452,0.05985,7357009.0
W,0.00102378,8.9683128,0.04423,46916762.8
PANDORA,0.0,0.0,3026.3,0.0
STRK,-0.00143815,-12.598194,0.13743,92505758.19999999
PIXEL,0.0,0.0,0.024027,0.0
AI,0.0,0.0,0.12555,0.0
TAO,-0.00284044,-24.8822544,278.26,59295.48
AR,-0.0055927799999999995,-48.9927528,3.8985,277493.6
MYRO,0.0,0.0,0.015813,0.0
kFLOKI,-0.00030322,-2.6562072,0.045088,31692470.0
BOME,0.00125,10.95,0.000684,281714770.0
ETHFI,0.00125,10.95,0.69311,6572736.6
ENA,0.00125,10.95,0.24131,171218644.0
MNT,0.00125,10.95,0.99255,3872269.8
TNSR,-0.14253929,-1248.6441804,0.14366,18770402.000000004
SAGA,0.00125,10.95,0.08554,15722764.200000001
MERL,-0.00460044,-40.299854399999994,0.35616,6128284.0
HBAR,-0.00122793,-10.7566668,0.14296,19462960.0
POPCAT,0.00125,10.95,0.092207,31949650.0
OMNI,0.0,0.0,4.1915,0.0
EIGEN,-3.058e-05,-0.26788080000000003,0.548,6108186.4
REZ,-0.00020773999999999999,-1.8198024,0.006368,88432940.0
NOT,0.00125,10.95,0.000552,594951274.0
TURBO,-0.00147743,-12.9422868,0.001416,742341090.0
BRETT,-0.0056844,-49.795344,0.013466,86362646.0
IO,-0.0027196399999999997,-23.8240464,0.22231,2262769.6
ZK,-0.00125064,-10.955606399999999,0.038206,35707456.0
BLAST,-0.01821483,-159.56191080000002,0.000975,1060936862.0
LISTA,0.0,0.0,0.12466,0.0
MEW,-0.0017633800000000002,-15.447208800000002,0.001123,435033788.0
RENDER,0.00125,10.95,1.7,877063.3999999999
kDOGS,0.0,0.0,0.13659,0.0
POL,0.00019613,1.7180988000000001,0.13213,15900408.0
CATI,0.0,0.0,0.082821,0.0
CELO,-0.024730900000000004,-216.64268400000003,0.16495,1523702.0
HMSTR,0.00125,10.95,0.000244,4064355920.0
SCR,0.00125,10.95,0.09355,1840480.1999999997
NEIROETH,0.0,0.0,0.01808,0.0
kNEIRO,0.00125,10.95,0.11746,3080784.0
GOAT,0.00086346,7.563909600000001,0.03999,13690500.0
MOODENG,-0.00356466,-31.226421599999995,0.069636,25256076.0
GRASS,-0.00076247,-6.6792372,0.37292,3515990.8000000003
PURR,0.00125,10.95,0.071119,47901318.0
PNUT,0.00125,10.95,0.08362,18532306.8
XLM,-0.0016611300000000002,-14.551498800000003,0.24447,12884900.0
CHILLGUY,0.00125,10.95,0.015691,31680232.0
SAND,0.00125,10.95,0.15018,4059682.0
IOTA,0.00125,10.95,0.11332,7209528.0
ALGO,-0.00636941,-55.7960316,0.1408,11375664.0
HYPE,0.00125,10.95,30.611,27130314.300000016
ME,-0.02128534,-186.4595784,0.36946,2797659.8
MOVE,-0.00561415,-49.179954,0.04915,27060670.0
VIRTUAL,0.00125,10.95,0.86726,8251697.6
PENGU,-0.00115448,-10.1132448,0.010153,400510648.0
USUAL,-0.00703976,-61.6682976,0.02508,19423139.0
FARTCOIN,0.00125,10.95,0.24787,181344358.0
AI16Z,0.0,0.0,0.06157,0.0
AIXBT,0.00125,10.95,0.042225,10296998.0
ZEREBRO,0.010156499999999999,88.97093999999998,0.023519,254393390.0
BIO,-0.00148592,-13.0166592,0.05988,17372750.0
GRIFFAIN,0.00125,10.95,0.012752,69641814.0
SPX,0.00125,10.95,0.50097,8732373.4
S,-0.00895245,-78.423462,0.10336,22180000.0
MORPHO,0.00125,10.95,1.4951,1680755.4
TRUMP,-0.0015860100000000001,-13.8934476,6.2063,2990614.5999999996
MELANIA,0.00125,10.95,0.12031,18957806.2
ANIME,-0.00024521000000000005,-2.1480396000000006,0.006389,77806518.0
VINE,0.00125,10.95,0.02783,21770262.0
VVV,-0.00712855,-62.446098,0.993,740341.82
JELLY,0.0,0.0,0.037555,0.0
BERA,-0.004326979999999999,-37.9043448,1.0255,3690520.0000000005
TST,0.00125,10.95,0.015159,59641632.0
LAYER,-0.04741791,-415.3808916,0.22209,9092254.0
IP,-0.00433894,-38.00911440000001,2.2652,822544.2000000001
OM,-0.0090411,-79.200036,0.07189,19731143.2
KAITO,-0.0054021,-47.322396,0.63875,2848690.0
NIL,-0.0033715,-29.53434,0.0911,6121672.0
PAXG,0.00125,10.95,4078.9,7330.17
PROMPT,-0.00255798,-22.4079048,0.05877,14069632.0
BABY,-0.0077618800000000005,-67.99406880000001,0.01983,20032140.0
WCT,-0.0018212200000000001,-15.9538872,0.11465,6387340.0
HYPER,-0.00043605,-3.8197980000000005,0.13243,3314316.0
ZORA,-0.009460940000000001,-82.87783440000001,0.05073,90915400.0
INIT,0.00125,10.95,0.10372,8774120.0
